Lautaro Valentin,Fornerón,23772524,1980-02-10
Ciro,Hernández,37187440,1991-08-10
Lautaro Emanuel,Fornerón,22379381,1989-12-14
Thiago Benjamin,Sánchez,30375660,1983-06-27
Luis Fernando,Mora,22870764,1997-12-23
Maria,Rómulo,25276748,1999-01-05
Alvaro,Pinedo,36007537,1993-10-01
Candela Abigail,Villalba,33422230,2002-12-16
Joaquin Alejandro,Rosso,23010600,1994-03-13
Genaro,Rotundo,34590274,1993-04-20
Magdalena,Nari,27877317,1980-06-12
Agustin Alejandro,Galán,28753437,2004-08-05
Santiago Valentin,Sorbera,28374354,2004-01-06
Santiago Emanuel,Maradona,24335578,1981-11-02
Santiago Joaquin,Giménez,26678784,1992-09-08
Martin Alejandro,Mamani,23763171,2001-05-29
Thiago Nahuel,Salvador,24889099,1992-08-16
Mateo Benjamin,Rómulo,38353171,1986-12-19
Franco Gabriel,Castillo,20308465,1994-06-23
Facundo Agustin,Silva,25151560,1998-12-06
Lautaro Sebastian,Borges,22030488,1992-11-11
Milagros Soledad,Pérez,25938846,1981-03-27
Ana Laura,Díaz,25737316,1985-09-18
Lautaro Martin,Castillo,32653681,1999-07-31
Celeste Abigail,Goicochea,39784975,1999-12-31
Nicole,Gómez,34686518,1981-05-24
Abril Agustina,Hidalgo,24680170,1994-10-04
Nicolas Alejandro,Mamani,30189094,1981-06-05
Lucas Daniel,Sala,27761215,1980-04-28
Micaela Belen,Saldaña,30097033,2001-08-02
Chiara,Varela,26127576,2001-08-05
Victoria Abril,Sánchez,20781570,1980-08-11
Manuela,Carranza,30114648,1989-08-25
Ulises,Espinoza,27616647,2002-09-11
Franco David,Nessi,22719444,1999-04-12
Santiago David,Casares,33103090,2002-01-21
Tomás Valentin,Rotman,24971709,1996-03-29
Gonzalo Nicolás,Giménez,29158373,2002-06-02
Uriel,Salazar,36428169,1981-02-12
Joaquin Nicolas,Mancuso,23531159,1984-05-16
Thiago Valentin,Raimundo,33392440,2003-04-08
Román,Lorenzo,21063480,1991-08-02
Luciano Gabriel,Rodríguez,21756777,1997-03-07
Camila Aylen,Fava,35865429,2002-03-29
